,Unnamed: 0,City Name,City Country,City ID,City Lat,City Long,Temps (F),Humidity %,Cloudiness %,Windspeed (mph),City Datetime
9,9,port alfred,ZA,964432,-33.59,26.89,71.01,81,0,7.0,1583078781
21,21,cidreira,BR,3466165,-30.18,-50.21,73.4,67,0,9.24,1583078790
28,28,dingle,PH,1714733,11.0,122.67,73.0,83,0,8.77,1583078794
71,71,bilaspur,IN,1275637,22.08,82.15,80.65,27,0,5.82,1583078824
84,84,tecoanapa,MX,3516171,16.52,-98.75,84.06,55,0,1.52,1583078832
88,88,salinopolis,BR,3389822,-0.61,-47.36,81.97,75,0,9.44,1583078834
102,102,qinzhou,CN,1797551,21.95,108.62,71.89,83,0,2.13,1583078865
125,125,kutum,SD,371745,14.2,24.67,86.38,9,0,9.86,1583078880
168,168,rocha,UY,3440777,-34.48,-54.33,88.14,27,0,4.32,1583078906
200,200,lebu,CL,3883457,-37.62,-73.65,75.38,42,0,4.52,1583078926
226,226,champerico,GT,3598787,14.3,-91.92,86.77,50,0,1.92,1583078943
229,229,jaguarao,BR,3460232,-32.57,-53.38,84.74,33,0,4.27,1583078944
249,249,kunda,IN,1265632,25.72,81.52,74.62,44,0,6.96,1583078958
271,271,jalu,LY,86049,29.03,21.55,72.55,22,0,8.59,1583078972
299,299,abu dhabi,AE,292968,24.47,54.37,75.2,57,0,5.82,1583078705
333,333,santiago,CL,3871336,-33.46,-70.65,84.0,46,0,4.7,1583078776
345,345,lazaro cardenas,MX,4026082,17.96,-102.2,79.3,65,0,2.89,1583079020
357,357,knysna,ZA,988698,-34.04,23.05,75.2,60,0,6.93,1583079029
360,360,chuy,UY,3443061,-33.7,-53.46,81.34,46,0,3.15,1583079031
438,438,pontes e lacerda,BR,3453060,-15.23,-59.34,84.87,61,0,4.83,1583079084
442,442,sheopur,IN,1256593,25.67,76.7,76.23,30,0,9.06,1583079088
467,467,phichit,TH,1607724,16.25,100.42,82.74,52,0,5.23,1583079104
481,481,vallenar,CL,3868633,-28.57,-70.76,72.0,56,0,7.96,1583079112
519,519,lahij,YE,6201197,13.17,44.58,79.25,53,0,7.81,1583079160
531,531,dalbandin,PK,1180729,28.89,64.41,70.38,16,0,5.79,1583079168
538,538,cruzeiro do sul,BR,3465080,-29.51,-51.99,87.01,42,0,3.0,1583078963
578,578,tocopilla,CL,3869716,-22.09,-70.2,75.69,34,0,5.79,1583079198
588,588,oudtshoorn,ZA,967106,-33.59,22.2,71.6,68,0,6.93,1583079205
646,646,carutapera,BR,3402648,-1.2,-46.02,82.44,74,0,7.43,1583079242
649,649,menongue,AO,3347353,-14.66,17.69,76.1,50,0,6.8,1583079244
663,663,edd,ER,338345,13.93,41.69,79.7,64,0,9.91,1583079253
685,685,karratha,AU,6620339,-20.74,116.85,87.12,78,0,1.83,1583079269
709,709,santa vitoria do palmar,BR,3449747,-33.52,-53.37,81.34,46,0,3.15,1583079283
